class,id
1,271
0,139
1,993
0,613
0,7
1,52
1,1054
0,575
1,326
1,179
1,242
1,1168
1,869
0,67
1,1204
0,394
1,827
1,229
1,168
1,5
0,76
0,445
0,1721
1,263
0,448
1,1320
0,96
0,1752
1,290
1,262
1,1056
0,537
1,203
1,302
0,1944
1,160
0,544
0,466
1,257
1,261
0,437
1,1142
0,647
0,342
1,885
0,324
1,32
1,1197
1,146
1,1261
0,41
0,805
0,353
0,148
0,555
1,279
0,496
0,423
0,700
1,235
1,1183
1,123
1,277
1,198
1,237
1,1141
1,64
0,478
0,602
1,239
1,112
1,164
1,1024
0,521
1,196
0,397
1,1162
1,321
0,380
1,393
0,305
1,558
1,864
0,671
0,320
0,726
0,23
0,422
0,143
1,983
1,95
0,565
0,666
0,329
0,651
1,91
0,517
0,492
0,697
1,169
1,181
1,118
1,38
1,53
1,204
0,643
1,151
0,166
0,625
0,936
1,211
0,382
1,1088
1,638
0,401
0,579
1,86
1,880
0,351
0,116
1,227
0,719
0,367
1,238
1,131
0,534
0,548
0,689
1,247
0,1026
0,65
0,375
1,107
0,124
1,656
0,503
0,90
0,165
0,101
0,628
1,292
1,611
1,157
1,417
0,115
0,195
1,232
0,1772
0,598
0,421
0,58
1,1126
0,24
1,728
0,500
1,408
0,699
0,212
0,17
0,150
1,21
0,583
0,381
0,35
0,585
0,77
0,312
0,572
0,133
0,1646
0,158
1,110
0,89
0,172
1,386
